"ID","OWC","DQ","allhazards_H9a_sev_exposure_30","disaster_h9a_sev_exposure_30","allhazards_H9a_sev_exposure_30_IA","disaster_h9a_sev_exposure_30_IA","normative_est_count_30","normative_est_count_30_IA","allhazards_est_count_30_IA","eHRAF.Name","ea033","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1_Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5_Resolved","S6_Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS3d_outside_Res","LS4d_outside_Res","LS5d_outside_Res","LS2e_nonkin_Res","LS3e_nonkin_Res","LS4e_nonkin_Res","LS5e_nonkin_Res","all_freq_30_IA","sevnonfd_freq_30_IA","fd_freq_30_IA","all_freqdr_30_IA","all_freqsevdr_30_IA","all_freqLAPD_30_IA","all_freqfl_30_IA","sevnonfd_freq_30","fd_hazards_freq_PC","disaster_nonfd_sev_exposure_30","disaster_nonfd_sev_exposure_30_IA"
116,"AA01",3,12.25,12,12.25,12,20,20,33,"Korea",3,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,1,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,0,NA,0,NA,1,NA,1,7,NA,5,5,4,NA,5,NA,NA,4.25,4.25
117,"AB43",1,21.25,11,21.25,11,40,40,47,NA,5,1,0,0,0,1,0,0,1,0,1,1,1,1,1,NA,0,1,0,NA,NA,NA,1,1,NA,0,0,0,1,0,0,0,1,7,1,5,7,4,2,5,NA,0.837790055566065,4,4
118,"AB06",1,2,2,2,2,20,20,24,NA,2,1,0,1,1,1,1,2,1,0,1,0,1,1,1,NA,1,NA,1,NA,NA,1,NA,1,NA,0,0,0,1,0,1,0,1,7,1,2,1,1,1,7,NA,-0.860952240884935,2,2
119,"RX02",2,2,2,2,2,NA,0,0,NA,1,1,0,1,1,1,1,2,1,NA,1,0,NA,1,1,NA,0,NA,0,1,NA,1,NA,1,1,NA,0,0,0,NA,0,0,0,7,1,2,1,1,1,1,NA,-0.860952240884935,2,2
121,"RY02",2,2,2,2,2,NA,0,1,"Chuuk",1,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,1,NA,1,NA,1,1,NA,1,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,7,1,3,1,1,1,1,NA,-0.634594338708943,0,0
124,"ND08",1,12,12,12,12,NA,0,6,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,1,0,1,NA,NA,1,0,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,1,1,1,NA,-0.18187853435696,4.5,4.5
127,"NG06",3,1,1,1,1,NA,NA,3,"Ojibway",1,1,0,NA,1,NA,NA,NA,1,1,1,NA,2,NA,1,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,0.5,0.5
130,"NA07",2,5,NA,5,0,20,20,20,NA,2,1,1,1,1,0,2,3,1,1,0,0,1,1,1,0,NA,NA,1,NA,1,NA,NA,1,NA,0,0,0,NA,0,1,1,NA,7,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
132,"NE06",3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,2,1,0,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"NS18",4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
